id,类,魔法名称,需要人物等级,magic_classname,catoon_classname,学习魔法需要m币,,,需要钻石,学习时间(秒）,施放消耗魔法值,收益m币,,,获得经验,异常状态概率%,偷获得最低,偷获得最高,被偷获得最低,被偷获得最高,最低保护%,魔法课程文字说明,m币收益 变量,,,,,,,,,,
2010,2,海豚,37,magicbook.1.waterlv10,magicshow.1.waterct10,100000,0,0,380,1500,102,551 ,0,0,100,50 ,54 ,108 ,54 ,108 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
3001,3,小草,3,magicbook.1.woodlv1,magicshow.1.woodct1,100,0,100,0,150,16,58 ,0,0,10,50 ,4 ,7 ,4 ,3 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3002,3,三叶草,7,magicbook.1.woodlv2,magicshow.1.woodct2,500,0,500,0,300,26,98 ,0,0,20,50 ,8 ,15 ,8 ,15 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3003,3,木之声,12,magicbook.1.woodlv3,magicshow.1.woodct3,1000,0,1000,5,450,36,143 ,0,0,30,50 ,12 ,24 ,12 ,24 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得少量的M币,,,,,,,,,,,
3004,3,木盾,15,magicbook.1.woodlv4,magicshow.1.woodct4,3000,0,3000,10,600,46,190 ,0,0,40,50 ,17 ,33 ,17 ,33 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3005,3,木风车,19,magicbook.1.woodlv5,magicshow.1.woodct5,6000,0,6000,20,750,56,242 ,0,0,50,50 ,22 ,43 ,22 ,43 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3006,3,飞叶术,23,magicbook.1.woodlv6,magicshow.1.woodct6,12000,0,12000,50,900,66,297 ,0,0,60,50 ,27 ,54 ,27 ,54 ,60 ,火系中最简单的咒语，传授学生这种咒语可以获得许多的M币,,,,,,,,,,,
3007,3,果实爆炸,27,magicbook.1.woodlv7,magicshow.1.woodct7,24000,0,24000,100,1050,76,356 ,0,0,70,50 ,33 ,66 ,33 ,66 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
3008,3,星星种子,31,magicbook.1.woodlv8,magicshow.1.woodct8,50000,0,50000,175,1200,86,418 ,0,0,80,50 ,39 ,78 ,39 ,78 ,60 ,火系中的高级咒语，传授学生这种咒语可以赚到大量的M币,,,,,,,,,,,
3009,3,蝴蝶,35,magicbook.1.woodlv9,magicshow.1.woodct9,75000,0,75000,260,1350,96,484 ,0,0,90,50 ,45 ,91 ,45 ,91 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
3010,3,木精灵,38,magicbook.1.woodlv10,magicshow.1.woodct10,100000,0,100000,380,1500,106,572 ,0,0,100,50 ,54 ,108 ,54 ,108 ,60 ,火系中的终极咒语，传授学生这种咒语可以赚到超多的M币,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
